num,data,1,3,5,7,9,11,13,15,17,19,21,23,25,qtd,soma,media
1911, 03/01/20,1,.,5,.,.,11,13,15,.,19,21,.,25,8,110, 13.75
1912, 06/01/20,.,.,5,7,9,.,.,.,.,.,21,23,.,5,65, 13.00
1913, 08/01/20,.,.,5,7,9,11,.,.,.,19,.,.,25,6,76, 12.67
1914, 10/01/20,.,.,5,.,.,.,13,15,17,19,21,.,25,7,115, 16.43
1915, 13/01/20,.,.,.,.,.,11,13,15,17,19,21,.,25,7,121, 17.29
1916, 15/01/20,.,.,5,7,.,11,13,15,.,19,.,23,25,8,118, 14.75
1917, 17/01/20,1,3,.,.,.,.,13,15,17,19,21,23,25,9,137, 15.22
1918, 20/01/20,.,.,5,7,9,11,.,.,17,19,.,.,.,6,68, 11.33
1919, 22/01/20,1,3,5,.,9,11,.,15,.,19,21,23,.,9,107, 11.89
1920, 24/01/20,.,.,.,.,9,11,13,.,17,.,21,.,25,6,96, 16.00
1921, 27/01/20,.,3,5,7,9,.,13,15,.,.,21,.,.,7,73, 10.43
1922, 29/01/20,.,3,5,7,.,.,.,.,17,19,.,23,25,7,99, 14.14
1923, 31/01/20,1,.,5,7,.,11,.,.,17,19,.,23,25,8,108, 13.50
1924, 03/02/20,.,3,.,.,9,11,13,.,17,.,.,23,25,7,101, 14.43
1925, 05/02/20,1,3,5,7,9,.,13,.,.,.,21,23,.,8,82, 10.25
1926, 07/02/20,1,.,5,.,9,.,13,15,17,.,21,23,.,8,104, 13.00
1927, 10/02/20,1,.,5,.,.,11,13,15,17,.,21,23,.,8,106, 13.25
1928, 12/02/20,1,3,5,7,9,.,.,15,.,19,.,23,25,9,107, 11.89
1929, 14/02/20,1,3,.,7,9,11,13,15,.,19,.,.,25,9,103, 11.44
1930, 17/02/20,1,.,5,7,.,.,13,.,17,.,21,23,.,7,87, 12.43
1931, 19/02/20,.,3,5,7,9,11,.,.,.,19,.,23,.,7,77, 11.00
1932, 21/02/20,.,.,.,.,9,11,.,.,17,19,.,.,.,4,56, 14.00
1933, 26/02/20,1,.,.,7,9,11,13,.,.,19,21,23,25,9,129, 14.33
1934, 28/02/20,1,3,5,7,9,11,.,.,.,.,.,23,25,8,84, 10.50
1935, 02/03/20,1,3,5,7,.,.,.,15,17,.,.,23,.,7,71, 10.14
1936, 04/03/20,.,3,5,.,.,11,13,15,17,19,21,.,25,9,129, 14.33
1937, 06/03/20,.,3,5,.,9,11,.,15,17,19,21,23,.,9,123, 13.67
1938, 09/03/20,.,3,.,7,.,11,.,.,.,19,21,.,25,6,86, 14.33
1939, 11/03/20,.,3,.,7,9,11,13,.,.,19,.,23,.,7,85, 12.14
1940, 13/03/20,1,.,5,.,.,11,13,15,17,.,21,23,25,9,131, 14.56
1941, 16/03/20,1,3,5,.,.,.,13,.,17,.,.,.,25,6,64, 10.67
1942, 18/03/20,1,3,.,7,.,11,13,15,.,.,.,.,25,7,75, 10.71
1943, 20/03/20,.,3,.,.,9,.,13,15,17,19,.,23,.,7,99, 14.14
1944, 23/03/20,1,.,5,7,9,11,13,.,.,.,.,23,.,7,69, 9.86
1945, 25/03/20,.,3,5,.,9,.,.,15,17,19,.,23,25,8,116, 14.50
1946, 27/03/20,1,3,.,7,.,11,13,15,.,.,21,23,.,8,94, 11.75
1947, 30/03/20,.,.,5,.,9,11,13,15,.,19,.,23,25,8,120, 15.00
1948, 01/04/20,1,3,.,7,9,11,13,.,17,19,21,.,.,9,101, 11.22
1949, 03/04/20,.,3,5,.,.,11,.,15,.,19,.,23,25,7,101, 14.43
1950, 06/04/20,.,3,.,.,9,11,.,.,.,.,21,23,25,6,92, 15.33
1951, 08/04/20,.,3,.,.,9,11,13,.,.,19,.,23,25,7,103, 14.71
1952, 11/04/20,.,3,5,7,9,11,13,.,17,.,21,.,.,8,86, 10.75
1953, 13/04/20,1,3,5,.,9,.,.,15,.,19,21,23,.,8,96, 12.00
1954, 15/04/20,.,3,.,7,.,.,13,.,.,.,21,23,25,6,92, 15.33
1955, 17/04/20,1,.,5,.,9,.,.,15,.,19,.,23,25,7,97, 13.86
